Operation,Total Time,Average Time,Run Count
extensible.SVG(),00m 23s,00m 23s,1
extensible.SVG.doInit(),00m 00s,00m 00s,2
extensible.SVG.doNextTimeline(),00m 01s,00m 00s,2
extensible.SVG._getTimeline(),00m 07s,00m 00s,124
extensible.SVG.hasTweensInRange(),00m 04s,00m 00s,39
extensible.SVG._getTimeline() >> Get frame items,00m 00s,00m 00s,272
extensible.SVG._getTimeline() >> Collate frames,00m 00s,00m 00s,48
extensible.SVG._getTimeline() >> Get keyframes,00m 00s,00m 00s,48
extensible.SVG._getSymbolInstance(),00m 08s,00m 00s,123
extensible.SVG._getTimeline() >> Check break apart tweens,00m 00s,00m 00s,30
extensible.SVG._getShape(),00m 06s,00m 00s,30
extensible.SVG.checkExpand(),00m 00s,00m 00s,603
extensible.SVG.executeExpandUse(),00m 00s,00m 00s,68
extensible.SVG.simplifyFrame(),00m 00s,00m 00s,141
extensible.SVG.processFinaliseDocuments(),00m 00s,00m 00s,2
extensible.SVG._applyColorEffects(),00m 00s,00m 00s,233
extensible.SVG.expandUseNow(),00m 00s,00m 00s,59
extensible.SVG.processFixUseLinks(),00m 00s,00m 00s,2
extensible.SVG.processCompactColours(),00m 00s,00m 00s,2
extensible.SVG.processRemoveZeros(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyOnes(),00m 00s,00m 00s,2
extensible.SVG.processRemoveIdentMatrices(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyMatrices(),00m 00s,00m 00s,2
extensible.SVG.processConvertHairlineStrokes(),00m 00s,00m 00s,2
